Name,Brand,Price,Image_url,Product_url
Navy/Light Blue Slim Fit Check Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£100.00'}, {'Date': 'September 2020', 'Price': '£40.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/714569.jpg,
Bright Blue Slim Fit Check Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£84.00'}, {'Date': 'September 2020', 'Price': '£16.00 - £25.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/361381.jpg,
Blue Regular Fit Linen Blend Long Sleeve Shirt,,"[{'Date': 'March 2020', 'Price': '£26.00'}, {'Date': 'June 2020', 'Price': '£9.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/296495.jpg,
Navy/Light Blue Slim Fit Check Suit: Trousers,,"[{'Date': 'February 2020', 'Price': '£50.00'}, {'Date': 'September 2020', 'Price': '£20.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/908252.jpg,
Bright Blue Slim Fit Check Suit: Trousers,,"[{'Date': 'February 2020', 'Price': '£45.00'}, {'Date': 'September 2020', 'Price': '£13.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/872134.jpg,
Tan Lace Loafers,,"[{'Date': 'February 2020', 'Price': '£48.00'}, {'Date': 'September 2020', 'Price': '£19.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/480140.jpg,
Blue Regular Fit Short Sleeve Madras Check Shirt,,"[{'Date': 'February 2020', 'Price': '£25.00'}, {'Date': 'September 2020', 'Price': '£12.50 - £15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/476612.jpg,
Grey Camouflage Cargo Shorts,,"[{'Date': 'February 2020', 'Price': '£24.00'}, {'Date': 'September 2020', 'Price': '£12.00 - £16.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/205660.jpg,
Dare 2b Grey Men's Rebo Trainers,,"[{'Date': 'May 2020', 'Price': '£90.00'}, {'Date': 'June 2020', 'Price': '£45.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/206454.jpg,
Light Grey Skinny Fit Grey Check Signature Nova Fides Italian Fabric Blazer,,"[{'Date': 'October 2019', 'Price': '£139.00'}, {'Date': 'March 2020', 'Price': '£41.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/334354.jpg,
Tan Contrast Sole Leather Brogues,,"[{'Date': 'February 2020', 'Price': '£55.00'}, {'Date': 'September 2020', 'Price': '£22.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/279775.jpg,
Taupe/Brown Skinny Fit Check Suit: Jacket,,"[{'Date': 'December 2019', 'Price': '£80.00'}, {'Date': 'June 2020', 'Price': '£42.00'}, {'Date': 'July 2020', 'Price': '£28.00'}, {'Date': 'August 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/646610.jpg,
Taupe/Brown Skinny Fit Check Suit: Trousers,,"[{'Date': 'January 2020', 'Price': '£45.00'}, {'Date': 'June 2020', 'Price': '£22.00'}, {'Date': 'July 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/609928.jpg,
Orange Tipped Regular Fit Poloshirt,,"[{'Date': 'February 2020', 'Price': '£20.00'}, {'Date': 'September 2020', 'Price': '£10.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/201336.jpg,
Grey/Blue Regular Fit Check Suit: Waistcoat,,"[{'Date': 'May 2020', 'Price': '£45.00'}, {'Date': 'June 2020', 'Price': '£22.00'}, {'Date': 'July 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/605775.jpg,
Grey/Blue Skinny Fit Check Suit: Jacket,,"[{'Date': 'January 2020', 'Price': '£84.00'}, {'Date': 'June 2020', 'Price': '£42.00'}, {'Date': 'July 2020', 'Price': '£28.00'}, {'Date': 'August 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/641280.jpg,
Grey/Blue Skinny Fit Check Suit: Trousers,,"[{'Date': 'January 2020', 'Price': '£45.00'}, {'Date': 'June 2020', 'Price': '£22.00'}, {'Date': 'July 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/647256.jpg,
